date,service,cost,cpu_usage,memory_usage,storage_gb,network_gb
2025-01-01,RDS,105.13,76.03,56.54,159.19,7.94
2025-01-02,Lambda,128.14,81.23,46.14,203.91,5.7
2025-01-03,EC2,114.26,50.64,73.35,243.08,10.44
2025-01-04,RDS,91.35,34.93,75.53,206.95,11.76
2025-01-05,RDS,86.52,59.2,32.31,121.15,11.54
2025-01-06,Lambda,107.38,36.45,46.06,159.86,12.46
2025-01-07,EC2,80.2,90.27,37.55,196.3,10.97
2025-01-08,EC2,127.47,52.73,50.25,196.22,8.4
2025-01-09,RDS,117.69,42.69,58.75,298.63,12.52
2025-01-10,S3,92.96,53.69,38.26,130.7,5.93
2025-01-11,RDS,74.3,23.06,46.17,225.28,7.3
2025-01-12,RDS,120.31,30.57,44.94,274.46,7.11
2025-01-13,RDS,98.28,74.01,63.11,313.57,13.24
2025-01-14,RDS,118.57,36.86,61.04,179.78,12.83
2025-01-15,Lambda,76.08,29.06,49.17,224.57,11.46
2025-01-16,EC2,91.01,60.73,62.65,228.49,13.22
2025-01-17,Lambda,100.08,73.71,51.8,209.77,7.36
2025-01-18,Lambda,100.7,64.38,55.93,195.06,11.05
2025-01-19,Lambda,93.25,69.92,85.1,221.8,9.62
2025-01-20,RDS,109.34,34.86,80.11,73.39,12.54
2025-01-21,S3,83.99,21.56,40.51,234.1,9.65
2025-01-22,EC2,97.86,80.03,72.45,206.31,8.85
2025-01-23,S3,101.8,43.55,72.17,188.88,11.62
2025-01-24,Lambda,107.72,44.98,42.78,302.34,12.63
2025-01-25,Lambda,110.67,76.56,72.28,166.25,7.99
2025-01-26,S3,83.13,61.12,83.07,179.85,9.82
2025-01-27,S3,76.99,59.12,43.16,299.58,6.82
2025-01-28,S3,119.17,93.3,46.24,158.4,2.51
2025-01-29,Lambda,104.98,37.13,75.26,172.49,10.6
2025-01-30,Lambda,88.77,68.56,64.07,192.65,11.83
2025-01-31,EC2,123.27,51.14,68.27,242.04,10.79
2025-02-01,EC2,101.74,55.37,65.11,210.39,4.15
2025-02-02,Lambda,117.69,80.57,65.86,135.37,8.95
2025-02-03,S3,101.01,60.16,40.1,173.39,3.34
2025-02-04,S3,130.91,60.77,75.71,169.63,14.11
2025-02-05,EC2,126.33,71.45,77.54,196.14,6.74
2025-02-06,Lambda,96.27,42.7,56.56,221.29,13.77
2025-02-07,EC2,114.57,33.22,59.35,220.91,12.84
2025-02-08,EC2,109.68,29.1,37.03,111.2,7.3
2025-02-09,RDS,1007.8442588932473,97.50152578177257,67.71,253.2,6.6
2025-02-10,RDS,85.53,91.12,68.58,212.63,11.05
2025-02-11,RDS,772.117321235232,98.60308145331858,59.07,269.23,7.47
2025-02-12,S3,115.88,45.57,76.87,222.21,10.31
2025-02-13,Lambda,73.62,44.46,54.99,255.07,8.55
2025-02-14,Lambda,82.25,56.15,68.47,223.33,4.66
2025-02-15,Lambda,69.41,66.31,44.71,267.31,3.31
2025-02-16,Lambda,95.96,67.21,59.65,226.11,10.68
2025-02-17,RDS,110.76,38.34,57.38,195.1,8.32
2025-02-18,S3,122.54,46.66,63.38,313.62,8.34
2025-02-19,S3,101.11,55.65,54.46,244.45,12.09
2025-02-20,RDS,124.43,45.03,58.03,228.69,13.52
2025-02-21,S3,79.3,82.15,72.39,136.18,9.18
2025-02-22,RDS,74.45,59.82,53.45,135.58,8.98
2025-02-23,Lambda,99.17,64.7,35.9,214.64,11.5
2025-02-24,RDS,105.76,63.26,86.24,207.28,5.93
2025-02-25,Lambda,99.51,73.47,80.72,169.29,10.67
2025-02-26,Lambda,68.99,53.62,40.62,207.05,11.66
2025-02-27,EC2,98.66,24.06,70.35,279.43,12.04
2025-02-28,RDS,80.43,57.99,52.46,234.77,4.19
2025-03-01,EC2,110.05,36.97,63.95,142.95,7.72
2025-03-02,RDS,105.5,39.43,64.41,194.42,7.37
2025-03-03,RDS,85.9,61.73,56.48,159.75,10.3
2025-03-04,EC2,92.29,74.77,48.24,180.62,11.44
2025-03-05,EC2,84.11,50.43,49.64,179.32,14.49
2025-03-06,RDS,99.06,56.18,46.26,176.12,8.52
2025-03-07,S3,114.33,84.04,47.52,137.24,8.51
2025-03-08,Lambda,85.21,54.82,58.99,193.62,13.45
2025-03-09,EC2,107.56,100.0,49.26,171.97,10.89
2025-03-10,Lambda,92.05,61.31,70.23,53.53,13.8
2025-03-11,S3,88.11,14.78,82.31,302.65,10.87
2025-03-12,S3,98.39,65.07,51.3,254.44,6.53
2025-03-13,S3,84.47,57.62,63.59,181.18,6.0
2025-03-14,EC2,91.7,75.8,67.5,200.94,5.35
2025-03-15,S3,82.03,63.46,67.08,141.42,11.99
2025-03-16,EC2,129.47,47.23,61.14,284.79,13.57
2025-03-17,S3,100.53,25.51,71.14,294.86,15.55
2025-03-18,Lambda,89.5,45.82,67.23,207.83,12.53
2025-03-19,Lambda,103.21,32.99,41.44,251.18,13.49
2025-03-20,RDS,98.32,38.39,73.04,208.76,8.26
2025-03-21,Lambda,96.69,61.77,73.31,133.16,6.53
2025-03-22,RDS,109.21,83.4,48.55,179.41,12.55
2025-03-23,Lambda,111.36,57.89,60.57,206.6,11.25
2025-03-24,EC2,92.04,26.08,70.25,177.27,10.32
2025-03-25,Lambda,91.36,58.89,56.86,189.07,11.16
2025-03-26,RDS,95.87,73.93,76.09,195.43,10.97
2025-03-27,RDS,65.47,37.8,95.46,195.96,13.85
2025-03-28,S3,77.27,47.32,48.21,202.61,13.88
2025-03-29,EC2,120.5,50.29,39.28,146.97,11.63
2025-03-30,Lambda,124.67,34.3,64.56,164.15,12.54
2025-03-31,S3,96.26,62.97,70.82,135.77,11.54
2025-04-01,Lambda,108.65,47.58,56.54,248.89,8.62
2025-04-02,Lambda,104.67,58.39,81.8,94.72,12.27
2025-04-03,S3,146.18,32.25,39.92,257.68,5.82
2025-04-04,S3,116.79,41.25,70.39,269.32,13.16
2025-04-05,S3,98.08,64.45,50.91,184.89,6.42
2025-04-06,S3,85.67,42.54,85.79,69.84,10.86
2025-04-07,S3,75.9,84.54,89.89,181.93,7.46
2025-04-08,Lambda,103.05,42.01,48.5,196.79,11.66
2025-04-09,S3,88.65,54.49,51.76,149.47,9.9
2025-04-10,EC2,78.67,68.65,72.89,174.24,5.22
2025-04-11,RDS,90.3,21.63,54.19,276.51,11.26
2025-04-12,S3,83.78,14.78,59.32,233.25,8.27
2025-04-13,S3,125.31,19.49,60.38,153.77,12.64
2025-04-14,Lambda,113.22,75.25,31.2,120.12,10.0
2025-04-15,S3,99.88,38.96,59.79,183.65,11.19
2025-04-16,S3,122.2,100.0,49.65,189.33,7.13
2025-04-17,S3,101.16,38.72,52.6,224.81,8.23
2025-04-18,Lambda,87.08,53.69,81.65,173.23,8.62
2025-04-19,S3,122.85,80.84,41.15,225.57,12.57
2025-04-20,RDS,108.08,90.12,72.2,296.76,15.03
2025-04-21,Lambda,84.44,91.23,55.82,240.78,7.58
2025-04-22,RDS,97.14,74.17,55.8,197.6,13.23
2025-04-23,Lambda,86.87,70.48,71.86,190.84,3.49
2025-04-24,S3,79.26,61.85,65.1,182.17,6.42
2025-04-25,RDS,113.89,65.57,68.56,259.03,7.12
2025-04-26,Lambda,128.64,38.98,74.52,168.63,5.94
2025-04-27,EC2,79.02,33.64,55.03,202.26,5.25
2025-04-28,S3,108.44,49.93,50.82,202.56,11.24
2025-04-29,Lambda,90.24,46.6,43.72,174.91,9.36
2025-04-30,EC2,92.69,40.94,47.62,131.38,11.14
2025-05-01,Lambda,91.11,63.93,100.0,216.15,12.07
2025-05-02,EC2,87.04,69.11,78.67,196.95,10.8
2025-05-03,S3,100.73,51.77,39.73,225.01,11.97
2025-05-04,RDS,87.54,79.55,40.16,173.32,9.79
2025-05-05,EC2,104.06,27.17,67.23,261.04,6.44
2025-05-06,Lambda,99.25,46.13,68.21,156.16,13.17
2025-05-07,S3,96.42,35.66,68.23,285.6,8.23
2025-05-08,EC2,86.39,12.67,56.18,112.62,7.19
2025-05-09,Lambda,690.7825953141643,97.64292100718721,58.12,221.74,9.47
2025-05-10,Lambda,111.33,47.57,64.92,223.77,7.26
2025-05-11,Lambda,107.51,80.27,61.29,160.22,8.75
2025-05-12,EC2,85.34,62.62,26.71,221.22,11.03
2025-05-13,EC2,101.49,29.52,56.55,263.98,11.05
2025-05-14,EC2,111.27,87.08,47.23,89.16,7.31
2025-05-15,RDS,74.96,74.42,62.63,225.14,8.54
2025-05-16,EC2,108.15,61.64,100.0,75.34,13.22
2025-05-17,EC2,90.06,45.47,65.51,151.72,11.49
2025-05-18,EC2,108.56,30.81,55.3,281.46,16.23
2025-05-19,RDS,88.55,42.56,73.83,170.91,13.54
2025-05-20,EC2,524.4005688827112,97.5394870800169,67.24,141.31,13.43
2025-05-21,Lambda,75.59,87.69,66.3,190.1,5.84
2025-05-22,EC2,100.72,80.86,69.1,303.4,12.29
2025-05-23,Lambda,103.9,40.22,90.85,108.42,9.84
2025-05-24,Lambda,86.44,27.61,43.04,147.43,8.35
2025-05-25,Lambda,109.58,52.82,67.1,274.87,10.5
2025-05-26,RDS,75.08,14.63,46.1,292.89,12.84
2025-05-27,RDS,99.01,56.46,68.33,194.83,11.5
2025-05-28,RDS,81.83,47.05,46.22,138.05,7.36
2025-05-29,EC2,90.22,40.68,53.74,304.79,12.23
2025-05-30,Lambda,100.71,18.11,55.57,279.72,8.09
2025-05-31,RDS,87.09,60.27,74.64,233.95,10.65
2025-06-01,RDS,94.23,39.35,73.78,159.38,9.09
2025-06-02,EC2,115.09,26.6,41.31,197.55,9.34
2025-06-03,RDS,91.35,0.0,60.82,191.98,12.3
2025-06-04,EC2,112.54,49.45,49.36,216.54,6.88
2025-06-05,S3,83.05,85.45,41.12,272.55,15.84
2025-06-06,RDS,107.95,83.23,56.74,243.97,4.54
2025-06-07,S3,121.62,40.86,55.37,146.13,8.21
2025-06-08,EC2,62.93,37.96,96.4,268.82,11.11
2025-06-09,Lambda,88.05,59.38,66.49,215.66,11.75
2025-06-10,RDS,108.66,30.03,39.34,234.35,9.7
2025-06-11,EC2,96.95,56.04,51.53,273.33,9.83
2025-06-12,Lambda,105.57,65.32,75.32,144.42,11.23
2025-06-13,Lambda,90.94,74.54,91.33,198.21,9.31
2025-06-14,S3,101.3,48.0,36.21,173.43,14.18
2025-06-15,EC2,97.66,45.93,31.8,121.61,12.52
2025-06-16,Lambda,117.52,32.44,88.06,217.34,12.62
2025-06-17,RDS,103.82,33.46,65.84,325.58,7.1
2025-06-18,RDS,105.06,45.47,46.98,108.0,9.76
2025-06-19,S3,93.82,57.35,68.02,198.39,9.1
2025-06-20,Lambda,92.69,68.27,20.46,232.03,6.98
2025-06-21,EC2,93.51,33.94,60.05,206.15,11.08
2025-06-22,RDS,105.92,79.85,64.92,194.34,8.39
2025-06-23,Lambda,93.69,44.58,73.86,135.04,11.97
2025-06-24,Lambda,104.35,49.57,44.79,211.64,6.79
2025-06-25,S3,131.13,35.06,61.29,162.16,15.16
2025-06-26,RDS,113.07,1.52,46.12,90.5,7.31
2025-06-27,RDS,95.11,67.68,63.83,259.73,10.66
2025-06-28,EC2,118.02,64.74,46.57,247.92,12.38
2025-06-29,RDS,93.88,44.37,53.88,202.58,8.29
2025-06-30,EC2,69.43,51.34,45.06,211.45,12.56
2025-07-01,RDS,84.88,60.32,69.77,253.72,6.31
2025-07-02,S3,71.94,18.75,72.88,211.22,14.36
2025-07-03,RDS,94.73,39.42,56.48,245.2,10.04
2025-07-04,EC2,100.28,65.89,60.57,185.13,8.21
2025-07-05,EC2,125.15,24.91,38.27,265.6,9.1
2025-07-06,S3,104.9,55.87,55.5,216.04,12.43
2025-07-07,RDS,96.71,22.87,59.25,209.7,8.25
2025-07-08,RDS,112.44,59.33,99.31,136.5,7.75
2025-07-09,S3,66.83,49.29,43.32,214.35,9.34
2025-07-10,RDS,103.53,17.7,81.96,158.4,6.47
2025-07-11,RDS,111.56,73.29,74.95,168.09,15.46
2025-07-12,EC2,77.82,35.31,64.21,159.23,8.3
2025-07-13,RDS,117.16,33.79,86.38,146.69,12.49
2025-07-14,RDS,105.08,54.01,65.58,306.24,10.63
2025-07-15,S3,93.77,72.97,65.84,266.57,7.05
2025-07-16,S3,109.49,29.68,59.2,296.02,9.98
2025-07-17,Lambda,134.06,51.23,78.35,138.86,12.35
2025-07-18,EC2,102.73,58.58,76.45,203.56,9.44
2025-07-19,RDS,103.72,63.86,50.61,135.32,13.58
2025-07-20,RDS,93.11,53.53,40.21,165.22,13.06
2025-07-21,Lambda,87.25,42.66,56.96,154.09,12.76
2025-07-22,RDS,112.46,33.45,48.0,261.98,8.62
2025-07-23,EC2,87.16,51.72,59.05,180.19,6.76
2025-07-24,Lambda,101.07,28.56,78.56,253.42,8.16
2025-07-25,EC2,92.84,0.0,53.14,230.21,10.59
2025-07-26,Lambda,107.18,58.73,59.36,315.18,11.64
2025-07-27,Lambda,105.0,68.08,60.87,126.03,3.49
2025-07-28,S3,115.56,2.74,72.73,262.96,9.98
2025-07-29,EC2,92.35,29.81,26.3,257.32,10.47
2025-07-30,RDS,95.95,62.38,50.9,151.33,9.17
2025-07-31,RDS,85.32,91.15,63.17,250.36,13.87
2025-08-01,EC2,93.34,50.42,78.0,216.81,11.27
2025-08-02,RDS,105.66,35.44,52.62,188.63,13.93
2025-08-03,RDS,111.35,46.34,31.85,158.8,9.35
2025-08-04,EC2,86.17,77.5,69.3,164.04,12.81
2025-08-05,Lambda,113.04,37.08,50.47,302.49,14.91
2025-08-06,EC2,120.33,34.02,42.16,200.03,13.94
